"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","19","79.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/02/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/03/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/04/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/05/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/06/2023","AQS","550790056","1","0.3","ppm","3","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/07/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/08/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/09/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/10/2023","AQS","550790056","1","0.4","ppm","5","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/11/2023","AQS","550790056","1","0.5","ppm","6","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
"01/12/2023","AQS","550790056","1","0.5","ppm","6","MILWAUKEE - COLLEGE AVE. NR","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","42.93257","-87.93434"
